portfolio,label,schedule,band_pp,stress,metric,value,start_date,end_date,peak_date,trough_date
annual_band_5pp,Annual + 5pp,annual,5.0,2020_covid_daily_mdd,daily_mdd,-0.1678907314634901,2020-02-01,2020-04-30,2020-02-20,2020-03-20
annual_band_5pp,Annual + 5pp,annual,5.0,2022_krw_return,calendar_year_return,-0.15165402897454128,2022-01-01,2022-12-31,,
annual_band_5pp,Annual + 5pp,annual,5.0,2025_spike_exclusion,cagr_excluding_2025_return_days,0.11540316983519161,2010-01-04,2026-05-18,,
annual_band_5pp,Annual + 5pp,annual,5.0,subperiod_2010_2017,cagr,0.08972419066406379,2010-01-01,2017-12-31,,
annual_band_5pp,Annual + 5pp,annual,5.0,subperiod_2010_2017,sharpe,0.9634975507429253,2010-01-01,2017-12-31,,
annual_band_5pp,Annual + 5pp,annual,5.0,subperiod_2010_2017,max_drawdown,-0.0707736571406059,2010-01-01,2017-12-31,,
annual_band_5pp,Annual + 5pp,annual,5.0,subperiod_2018_2026,cagr,0.15781670695890182,2018-01-01,2026-12-31,,
annual_band_5pp,Annual + 5pp,annual,5.0,subperiod_2018_2026,sharpe,1.2172667752228101,2018-01-01,2026-12-31,,
annual_band_5pp,Annual + 5pp,annual,5.0,subperiod_2018_2026,max_drawdown,-0.17086630768951283,2018-01-01,2026-12-31,,
annual_band_7p5pp,Annual + 7.5pp,annual,7.5,2020_covid_daily_mdd,daily_mdd,-0.16818187766319004,2020-02-01,2020-04-30,2020-02-20,2020-03-19
annual_band_7p5pp,Annual + 7.5pp,annual,7.5,2022_krw_return,calendar_year_return,-0.15194871768469176,2022-01-01,2022-12-31,,
annual_band_7p5pp,Annual + 7.5pp,annual,7.5,2025_spike_exclusion,cagr_excluding_2025_return_days,0.11577998961044966,2010-01-04,2026-05-18,,
annual_band_7p5pp,Annual + 7.5pp,annual,7.5,subperiod_2010_2017,cagr,0.0896255406894324,2010-01-01,2017-12-31,,
annual_band_7p5pp,Annual + 7.5pp,annual,7.5,subperiod_2010_2017,sharpe,0.9608022373421936,2010-01-01,2017-12-31,,
annual_band_7p5pp,Annual + 7.5pp,annual,7.5,subperiod_2010_2017,max_drawdown,-0.0707736571406059,2010-01-01,2017-12-31,,
annual_band_7p5pp,Annual + 7.5pp,annual,7.5,subperiod_2018_2026,cagr,0.1583809663603266,2018-01-01,2026-12-31,,
annual_band_7p5pp,Annual + 7.5pp,annual,7.5,subperiod_2018_2026,sharpe,1.2044431417291332,2018-01-01,2026-12-31,,
annual_band_7p5pp,Annual + 7.5pp,annual,7.5,subperiod_2018_2026,max_drawdown,-0.1726361051629064,2018-01-01,2026-12-31,,
annual_band_10pp,Annual + 10pp,annual,10.0,2020_covid_daily_mdd,daily_mdd,-0.18355757607569056,2020-02-01,2020-04-30,2020-02-20,2020-03-20
annual_band_10pp,Annual + 10pp,annual,10.0,2022_krw_return,calendar_year_return,-0.16276957933077985,2022-01-01,2022-12-31,,
annual_band_10pp,Annual + 10pp,annual,10.0,2025_spike_exclusion,cagr_excluding_2025_return_days,0.1242533986438139,2010-01-04,2026-05-18,,
