date,V1_macro_gate_mcap_net_value,V2_kospi_buy_and_hold_net_value,V3_cash_net_value
2015-04-07,0.8526709406137687,1.9670397835811935,1.0
2015-04-08,0.8456335239948976,1.980132745776021,1.0
2015-04-09,0.8364091420175295,1.9803307822027152,1.0
2015-04-10,0.8527834787222816,2.0090427436558906,1.0
2015-04-13,0.849760120338362,2.021002636681053,1.0
2015-04-14,0.8576664662120667,2.034829514944455,1.0
2015-04-15,0.8546837295678625,2.044082931411195,1.0
2015-04-16,0.8665311081522246,2.064071558788192,1.0
2015-04-17,0.8735443662050835,2.0685661061812075,1.0
2015-04-20,0.8700793233475743,2.072789454312429,1.0
2015-04-21,0.8686774104641671,2.0718875602981477,1.0
2015-04-22,0.8690502273661506,2.072058872876375,1.0
2015-04-23,0.8813900294099548,2.102376804230367,1.0
2015-04-24,0.8923899851869799,2.090757031135097,1.0
2015-04-27,0.877896595958786,2.089699670941546,1.0
2015-04-28,0.8765850915253549,2.0810708629158734,1.0
2015-04-29,0.8754853939491943,2.0773727862677487,1.0
2015-04-30,0.8682404806492957,2.063318830755318,1.0
2015-05-04,0.8775122765068991,2.0696478295870793,1.0
2015-05-06,0.8609902632568373,2.0439316442207494,1.0
2015-05-07,0.8653763616294099,2.032054477118798,1.0
2015-05-08,0.8596116960679361,2.0277388864681787,1.0
2015-05-11,0.859789218999756,2.040205588146433,1.0
2015-05-12,0.8588482444579464,2.0403123154719087,1.0
2015-05-13,0.8525924918358212,2.0583850020113945,1.0
2015-05-14,0.8506254965658557,2.06543176614629,1.0
2015-05-15,0.8446284980170997,2.052976430341221,1.0
2015-05-18,0.8405770700272592,2.06168427232673,1.0
2015-05-19,0.8422538154162187,2.0695432160401315,1.0
2015-05-20,0.8595841261551627,2.0891648921766044,1.0
2015-05-21,0.8511388746165127,2.0736629292851663,1.0
2015-05-22,0.8633690386892945,2.097715939169258,1.0
2015-05-26,0.8539167599856268,2.0975509370336414,1.0
2015-05-27,0.8408518107174664,2.063656207501869,1.0
2015-05-28,0.8442801476783294,2.0682429101814073,1.0
2015-05-29,0.8514233724340393,2.0732270601436493,1.0
2015-06-01,0.8377364204065858,2.062765261589467,1.0
2015-06-02,0.8130631304439558,2.0416010458778584,1.0
2015-06-03,0.8020423217293897,2.027489956613141,1.0
2015-06-04,0.8040282403096033,2.039279572680542,1.0
2015-06-05,0.8143484948738122,2.0359271164732293,1.0
2015-06-08,0.8006032048430853,2.034577600284724,1.0
2015-06-09,0.7954208820364734,2.0343825525351655,1.0
2015-06-10,0.7873010101519214,2.022998941906748,1.0
2015-06-11,0.7960943456621401,2.0295978591539483,1.0
2015-06-12,0.789843891794568,2.0264471521561287,1.0
2015-06-15,0.7905432743749998,2.017866703407943,1.0
2015-06-16,0.7763144236539091,2.005600220963533,1.0
2015-06-17,0.7765095907348418,2.0126425957406693,1.0
2015-06-18,0.7654972093365875,2.020788259976721,1.0
2015-06-19,0.7674702477602271,2.026805787510165,1.0
2015-06-22,0.7808551050858015,2.0358843129702398,1.0
2015-06-23,0.7820741037390372,2.0629793431393653,1.0
2015-06-24,0.7828752476877637,2.0681665281731196,1.0
2015-06-25,0.7741262225067478,2.0695174812241675,1.0
2015-06-26,0.7752525209922092,2.075691960609341,1.0
2015-06-29,0.7765634455586992,2.0476784497318494,1.0
2015-06-30,0.7806167496311467,2.0621272192699127,1.0
2015-07-01,0.7902565314504459,2.086913797477709,1.0
2015-07-02,0.7931356291214958,2.097894786088096,1.0
2015-07-03,0.7913904091288295,2.0963121635585598,1.0
2015-07-06,0.7714575543449713,2.04699311407136,1.0
