date,cash,mtm_value,gross_value,net_value,n_positions,d013_baseline_net_value,d013_kr_short_rate_sleeve_net_value,kr_short_rate_sleeve_factor
2024-03-19,0.0,1.7924259984614868,1.7924259984614868,1.7924259984614868,5,1.4245286487147106,1.7924259984614868,1.258259003831698
2024-03-20,0.0,1.8114587608933381,1.8114587608933381,1.8114587608933381,5,1.4396549163383812,1.8114587608933381,1.258259003831698
2024-03-21,0.0,1.8805802096109507,1.8805802096109507,1.8805802096109507,5,1.4945891139138576,1.8805802096109507,1.258259003831698
2024-03-22,0.0,1.8567003349596978,1.8567003349596978,1.8567003349596978,5,1.4756106090285095,1.8567003349596978,1.258259003831698
2024-03-25,0.0,1.8468618639701846,1.8468618639701846,1.8468618639701846,5,1.467791494712973,1.8468618639701846,1.258259003831698
2024-03-26,0.0,1.8611759923531068,1.8611759923531068,1.8611759923531068,5,1.4791676329637882,1.8611759923531068,1.258259003831698
2024-03-27,0.0,1.8836074707321768,1.8836074707321768,1.8836074707321768,5,1.4969950264581011,1.8836074707321768,1.258259003831698
2024-03-28,0.0,1.8617583890904155,1.8617583890904155,1.8617583890904155,5,1.4796304921490075,1.8617583890904155,1.258259003831698
2024-03-29,0.0,1.8675655363401216,1.8675655363401216,1.8675655363401216,5,1.484245716226103,1.8675655363401216,1.258259003831698
2024-04-01,0.0,1.8489609405779466,1.8489609405779466,1.8489609405779466,5,1.4694597336060544,1.8489609405779466,1.258259003831698
2024-04-02,0.0,1.8497956108540607,1.8497956108540607,1.8497956108540607,5,1.4701230869169168,1.8497956108540607,1.258259003831698
2024-04-03,0.0,1.80707767741836,1.80707767741836,1.80707767741836,5,1.43617305492381,1.80707767741836,1.258259003831698
2024-04-04,0.0,1.8517426899233596,1.8517426899233596,1.8517426899233596,5,1.4716705259285747,1.8517426899233596,1.258259003831698
2024-04-05,0.0,1.8317263000764854,1.8317263000764854,1.8317263000764854,5,1.455762521466918,1.8317263000764854,1.258259003831698
